Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
2021-12-28,404.4,404.58,400.71,401.61,33113728.0,13328800000.0,401.61,0.0
2021-12-29,401.75,403.05,399.11,401.55,32248484.0,12938587000.0,401.55,0.0
2021-12-30,401.33,403.5699,399.75,400.35,23850064.0,9584947000.0,400.35,0.0
2021-12-31,399.66,401.0589,397.34,397.85,34752884.0,13862290000.0,397.85,0.0
2022-01-03,399.05,401.94,396.88,401.68,40575856.0,16229862000.0,401.68,0.0
2022-01-04,402.24,402.28,393.288,396.47,58027210.0,23020521000.0,396.47,0.0
2022-01-05,394.74,395.89,384.03,384.29,75739850.0,29563580000.0,384.29,0.0
2022-01-06,382.42,387.35,380.13,384.02,70814320.0,27227100000.0,384.02,0.0
2022-01-07,384.03,385.76,378.04,379.86,72652300.0,27712539000.0,379.86,0.0
2022-01-10,374.82,380.64,369.31,380.11,91770500.0,34371277000.0,380.11,0.0
2022-01-11,379.355,385.9899,377.2182,385.82,68295700.0,26109997000.0,385.82,0.0
2022-01-12,388.46,390.2,385.01,387.35,54576370.0,21154090000.0,387.35,0.0
2022-01-13,388.77,389.47,376.7,377.66,77993960.0,29838602000.0,377.66,0.0
2022-01-14,375.07,380.35,374.86,380.01,80121210.0,30284294000.0,380.01,0.0
2022-01-18,374.04,376.22,369.7704,370.55,75812296.0,28273280000.0,370.55,0.0
2022-01-19,372.15,374.69,366.21,366.48,81791480.0,30311789000.0,366.48,0.0
2022-01-20,369.79,373.87,361.17,361.72,88610680.0,32613423000.0,361.72,0.0
2022-01-21,359.47,362.18,351.4,351.69,143388930.0,51179938000.0,351.69,0.0
2022-01-24,345.905,353.98,334.15,353.3,199448110.0,68611100000.0,353.3,0.0
2022-01-25,346.67,351.0295,341.68,345.11,124398390.0,43001377000.0,345.11,0.0
2022-01-26,352.91,356.88,340.78,344.57,146559520.0,51138945000.0,344.57,0.0
